,0,1,2,3
0,1º,4157,15,Jacaré
1,2º,7284,21,Touro
2,3º,7583,21,Touro
3,4º,5525,07,Carneiro
4,5º,6662,16,Leão
5,6º,4775,19,Pavão
6,7º,1255,14,Gato
7,8º,5882,21,Touro
8,9º,7435,09,Cobra
9,10º,0558,15,Jacaré
10,1º,6890,23,Urso
11,2º,9886,22,Tigre
12,3º,9463,16,Leão
13,4º,2510,03,Burro
14,5º,1850,13,Galo
15,6º,6992,23,Urso
16,7º,8845,12,Elefante
17,8º,9861,16,Leão
18,9º,0630,08,Camelo
19,10º,6927,07,Carneiro
20,1º,0300,25,Vaca
21,2º,8151,13,Galo
22,3º,2244,11,Cavalo
23,4º,4877,20,Peru
24,5º,7228,07,Carneiro
25,6º,0824,06,Cabra
26,7º,3128,07,Carneiro
27,8º,0547,12,Elefante
28,9º,0147,12,Elefante
29,10º,7446,12,Elefante
30,1º,5326,07,Carneiro
31,2º,2834,09,Cobra
32,3º,1920,05,Cachorro
33,4º,0346,12,Elefante
34,5º,1647,12,Elefante
35,6º,5210,03,Burro
36,7º,3893,24,Veado
37,8º,2324,06,Cabra
38,9º,6406,02,Águia
39,10º,9906,02,Águia
40,1º,3705,02,Águia
41,2º,0158,15,Jacaré
42,3º,5079,20,Peru
43,4º,6021,06,Cabra
44,5º,7013,04,Borboleta
45,6º,3056,14,Gato
46,7º,7100,25,Vaca
47,8º,0572,18,Porco
48,9º,5891,23,Urso
49,10º,8595,24,Veado
50,1º,0345,12,Elefante
51,2º,3247,12,Elefante
52,3º,5415,04,Borboleta
53,4º,8514,04,Borboleta
54,5º,0879,20,Peru
55,6º,0358,15,Jacaré
56,7º,3245,12,Elefante
57,8º,4411,03,Burro
58,9º,5754,14,Gato
59,10º,2168,17,Macaco
